CodDependente,Nome,Sexo,DataNascimento,ID
1,João das Couves,M,2026-01-10,3
2,Ana Mello,F,2026-05-15,2
3,Pedro Campestrim,M,2024-11-20,3
4,Sophia Styles,F,2023-08-05,5
5,Lucas Ferreira,M,2025-02-28,6
6,Marina Gonçalves,F,2022-04-12,4
7,Tiago Tensor,M,2025-07-22,8
8,Helena Monsenhor,F,2021-09-09,5
9,Carlos Helena,M,2024-12-01,9
10,Davi Leite,M,2026-03-30,1
11,Marcos Silva,M,2018-05-12,1
12,Beatriz Costa,F,2020-11-23,6
13,Fernando Almeida,M,2015-08-30,2
14,Camila Rocha,F,2019-02-14,3
15,Rafael Souza,M,2021-07-07,8
16,Juliana Mendes,F,2017-09-18,7
17,Ricardo Lima,M,2022-01-25,10
18,Letícia Castro,F,2016-04-10,3
19,Diego Santos,M,2023-12-05,8
20,Patrícia Martins,F,2014-06-21,10
